src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
118.160.24.76,192.168.29.172,0.0,54,0,0,1,20,0,0,0
129.237.125.198,192.168.29.172,0.0,54,0,0,1,20,0,0,0
165.93.129.202,192.168.29.172,0.0,54,0,0,1,20,0,0,0
175.226.171.165,192.168.29.172,0.0,54,0,0,1,20,0,0,0
98.225.93.44,192.168.29.172,0.0,54,0,0,1,20,0,0,0
89.154.194.44,192.168.29.172,0.0,54,0,0,1,20,0,0,0
12.99.146.125,192.168.29.172,0.0,54,0,0,1,20,0,0,0
174.14.224.233,192.168.29.172,0.0,54,0,0,1,20,0,0,0
95.190.120.134,192.168.29.172,0.0,54,0,0,1,20,0,0,0
143.175.133.117,192.168.29.172,0.0,54,0,0,1,20,0,0,0
70.234.203.243,192.168.29.172,0.0,54,0,0,1,20,0,0,0
238.156.165.144,192.168.29.172,0.0,54,0,0,1,20,0,0,0
98.240.24.226,192.168.29.172,0.0,54,0,0,1,20,0,0,0
87.144.2.98,192.168.29.172,0.0,54,0,0,1,20,0,0,0
238.62.85.236,192.168.29.172,0.0,54,0,0,1,20,0,0,0
163.103.166.163,192.168.29.172,0.0,54,0,0,1,20,0,0,0
166.196.174.106,192.168.29.172,0.0,54,0,0,1,20,0,0,0
117.200.121.196,192.168.29.172,0.0,54,0,0,1,20,0,0,0
240.174.66.19,192.168.29.172,0.0,54,0,0,1,20,0,0,0
182.197.74.238,192.168.29.172,0.0,54,0,0,1,20,0,0,0
114.190.115.133,192.168.29.172,0.0,54,0,0,1,20,0,0,0
255.154.129.161,192.168.29.172,0.0,54,0,0,1,20,0,0,0
227.94.212.91,192.168.29.172,0.0,54,0,0,1,20,0,0,0
165.252.165.165,192.168.29.172,0.0,54,0,0,1,20,0,0,0
122.154.36.208,192.168.29.172,0.0,54,0,0,1,20,0,0,0
182.24.85.44,192.168.29.172,0.0,54,0,0,1,20,0,0,0
243.174.31.226,192.168.29.172,0.0,54,0,0,1,20,0,0,0
225.170.14.30,192.168.29.172,0.0,54,0,0,1,20,0,0,0
19.42.76.171,192.168.29.172,0.0,54,0,0,1,20,0,0,0
33.216.166.149,192.168.29.172,0.0,54,0,0,1,20,0,0,0
44.96.121.12,192.168.29.172,0.0,54,0,0,1,20,0,0,0
115.217.121.99,192.168.29.172,0.0,54,0,0,1,20,0,0,0
89.12.250.108,192.168.29.172,0.0,54,0,0,1,20,0,0,0
205.228.74.190,192.168.29.172,0.0,54,0,0,1,20,0,0,0
13.171.120.161,192.168.29.172,0.0,54,0,0,1,20,0,0,0
0.122.213.151,192.168.29.172,0.0,54,0,0,1,20,0,0,0
195.70.250.244,192.168.29.172,0.0,54,0,0,1,20,0,0,0
237.221.217.202,192.168.29.172,0.0,54,0,0,1,20,0,0,0
37.236.37.75,192.168.29.172,0.0,54,0,0,1,20,0,0,0
234.127.133.174,192.168.29.172,0.0,54,0,0,1,20,0,0,0
223.171.225.222,192.168.29.172,0.0,54,0,0,1,20,0,0,0
123.208.85.86,192.168.29.172,0.0,54,0,0,1,20,0,0,0
254.225.91.5,192.168.29.172,0.0,54,0,0,1,20,0,0,0
236.139.41.149,192.168.29.172,0.0,54,0,0,1,20,0,0,0
